pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	hallmark	fgsea	tcga_cancer__KIRC_DESeq2	tcga_cancer__KIRC_DESeq2	6.37978015162703e-05	0.000201820343478785	-1.62420153966443	NA	194	DBT;SUCLG1;HADH;GHITM;UQCRC1;COQ3;CAT;MAP4K3;IMMT;MCCC1;DHRS7;GPAM;NKIRAS1;DLD;REEP6;SDHB;GPHN;PTGER3;DECR1;APLP2;CHUK;DHCR7;PRDX3;ECHS1;ACOX1;DLAT;MTCH2;PHYH;IDH3A;SDHC;EPHX2;ATP1B3;ACADM;MRPL15;COX8A;COX7B;QDPR;COQ9;HIBCH;NDUFS3;UBQLN1;BCL2L13;SCP2;SOWAHC;ARAF;CS;TST;GRPEL1;GPX3;RTN3;AIFM1;UQCR10;GADD45A;CPT2;MDH2;CYP4B1;TOB1;PTCD3;SOD1;MTARC2;NDUFA5;ESRRA;G3BP2;ACO2;ALDH2;PFKFB3;ADCY6;CHCHD10;IDH1;SLC25A10;CYC1;POR;ELOVL6;RNF11
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	hallmark	fgsea	tcga_cancer__KIRC_DESeq2	tcga_cancer__KIRC_DESeq2	9.84480079879593e-27	4.92240039939797e-25	2.53794667063649	NA	188	ST8SIA4;CDKN2A;TAPBP;CD40;TAP1;HLA-G;IL12RB1;LCP2;FASLG;CD8A;HLA-A;GBP2;IFNAR2;IGSF6;IL2RB;IL4R;IFNG;CCL5;INHBB;GZMA;CXCL9;CD8B;ITGAL;IFNGR2;CCR5;PRF1;HLA-DMA;CD74;SPI1;CXCR3;CD1D;ITGB2;STAT4;CD2;MAP4K1;CRTAM;CSK;CD247;ZAP70;TGFB1;CD7;KLRD1;WAS;CCL4;FGR;DARS1;HLA-E;HLA-DQA1;HCLS1;GZMB;TAP2;PTPN6;CD3D;NCF4;B2M;CD3E;LY86;CTSS;IL16;TLR6;TRAF2;HLA-DRA;HLA-DOB;NCK1;IRF7;NCR1;SIT1;CD3G;CD96;DEGS1;PSMB10;CD4;CD80;GPR65;MMP9;RPS19;IL2RG;CSF1;FYB1;NPM1;IL18RAP;EGFR;CD86;CXCL13;TLR3;ETS1;STAB1;CFP;ITK;FAS;TLR2;HLA-DOA;IL15;ELF4;TRAT1;PTPRC;TIMP1;IL7;HLA-DMB
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	hallmark	fgsea	tcga_cancer__KIRC_DESeq2	tcga_cancer__KIRC_DESeq2	0.0703517587939698	0.117252931323283	-1.29979280924687	NA	98	GPD1L;TMPRSS2;BMPR1B;HMGCR;IDI1;SORD;HPGD;ACSL3;PTPN21;H1-0;GSR;HOMER2;SMS;CDC14B;HMGCS1;NKX3-1;VAPA;INSIG1;IQGAP2;TPD52;AZGP1;NGLY1;ALDH1A3
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	hallmark	fgsea	tcga_cancer__KIRC_DESeq2	tcga_cancer__KIRC_DESeq2	0.284722222222222	0.355902777777778	1.11878127293526	NA	33	VEGFA;JAG2;COL5A2;MSX1;TIMP1;CCND2;FSTL1;PDGFA;NRP1
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	hallmark	fgsea	tcga_cancer__KIRC_DESeq2	tcga_cancer__KIRC_DESeq2	0.428571428571429	0.510204081632653	1.00968903532492	NA	193	EVL;TGFBI;STX4;SIRPA;CDH4;BMP1;ALOX15B;CDH8;TSPAN4;MAPK11;CD276;RAC2;THBS3;SHC1;FSCN1;CD99;MMP9;FYB1;ARHGEF6;EGFR;VWF;CD86;SDC3;PECAM1;YWHAH;CX3CL1;PTPRC;VCAM1;LAYN;PBX2;AMH;ADRA1B;DMP1;GNAI2;ATP1A3;PLCG1
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	hallmark	fgsea	tcga_cancer__KIRC_DESeq2	tcga_cancer__KIRC_DESeq2	0.00491197550369166	0.00957647771242548	-1.65262942532034	NA	44	GSTM3;MAL;RHCG;ATP6V0A4;GATA3;SCUBE1;TMEM8B;GAS1;AFAP1L2;NTNG1;SLC34A3;ATP8B1;APP;SHROOM2;PKHD1;LYPD3;PCSK9
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	hallmark	fgsea	tcga_cancer__KIRC_DESeq2	tcga_cancer__KIRC_DESeq2	0.144444444444444	0.206349206349206	1.15745968203814	NA	160	CCND1;ENO2;TAP1;FASLG;CASP4;CASP1;CAV1;PRF1;BAX;FDXR;ISG20;CD2;BID;BIRC3;PLCB2;RARA;DIABLO;CD38;CASP8;HMOX1;IRF1;CD14;FAS;GNA15;TIMP1;PEA15;CCND2;CASP2;ANXA1;TOP2A;F2;CD44;LGALS3;CFLAR;AIFM3;BRCA1;SOD2;IFNGR1;IFITM3;BNIP3L;PDGFRB;PPP3R1;CDK2;RHOT2;CDC25B;BGN;CASP3;HSPB1;GPX1;F2R;ERBB3;PSEN2;CD69;LEF1
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	hallmark	fgsea	tcga_cancer__KIRC_DESeq2	tcga_cancer__KIRC_DESeq2	4.35548169110677e-06	2.17774084555338e-05	-1.92538118713133	NA	107	NR0B2;NR3C2;CROT;ABCA4;PFKM;DIO1;HACL1;CAT;TFCP2L1;AGXT;IDI1;PEX7;HAO1;BCAR3;HSD17B4;IDH2;TTR;SULT2B1;PHYH;PNPLA8;EPHX2;ABCD3;BMP6;ISOC1;ALDH9A1;PEX19;SLC27A5;ABCA8;PIPOX;PEX12;CYP39A1;ACSL1;LONP2;SCP2;NUDT12;ABCA6;SLCO1A2;CH25H;PEX1;SOD1;ABCG8;PEX13;IDH1;PEX26;SLC23A1;SLC35B2;DHCR24;GNMT;ABCA9;PECR;CYP8B1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	hallmark	fgsea	tcga_cancer__KIRC_DESeq2	tcga_cancer__KIRC_DESeq2	0.143552311435523	0.206349206349206	-1.21162992903629	NA	74	SREBF2;FDFT1;TM7SF2;HMGCR;SC5D;IDI1;MAL2;PCYT2;ACAT2;ADH4;DHCR7;GLDC;GNAI1;CD9;LDLR;CYP51A1;HMGCS1
HALLMARK_COAGULATION	HALLMARK_COAGULATION	hallmark	fgsea	tcga_cancer__KIRC_DESeq2	tcga_cancer__KIRC_DESeq2	0.583547557840617	0.65374677002584	-0.942997639205602	NA	126	HRG;F11;ISCU;PLAT;PROZ;CTSH;CAPN2;RAPGEF3;CTSV;CAPN5;USP11;HMGCS2;CASP9;ACOX2;RGN;SERPINC1;PLAU;CD9;PROC;ARF4;PLG
