pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	fgsea	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	2.39643300323078e-13	1.99702750269231e-12	-2.17482292307465	NA	198	ENSG00000250479;ENSG00000164405;ENSG00000127540;ENSG00000241837;ENSG00000179091;ENSG00000131174;ENSG00000099795;ENSG00000010256;ENSG00000184076;ENSG00000135218;ENSG00000004779;ENSG00000095321;ENSG00000163541;ENSG00000088682;ENSG00000122971;ENSG00000127884;ENSG00000135424;ENSG00000213619;ENSG00000105379;ENSG00000117054;ENSG00000143198;ENSG00000104325;ENSG00000174233;ENSG00000104823;ENSG00000176340;ENSG00000132423;ENSG00000128609;ENSG00000146701;ENSG00000091140;ENSG00000132305;ENSG00000173153;ENSG00000079435;ENSG00000117118;ENSG00000100347;ENSG00000176194;ENSG00000107537;ENSG00000148343;ENSG00000138796;ENSG00000137547;ENSG00000173511;ENSG00000130304;ENSG00000156709;ENSG00000100412;ENSG00000142168;ENSG00000110871;ENSG00000062485;ENSG00000132300;ENSG00000165678;ENSG00000167315;ENSG00000095637;ENSG00000175445;ENSG00000067829;ENSG00000079739;ENSG00000165672;ENSG00000143252;ENSG00000120915;ENSG00000130717;ENSG00000120675;ENSG00000150768;ENSG00000149925;ENSG00000248098;ENSG00000099968;ENSG00000164237;ENSG00000137992;ENSG00000129625;ENSG00000152137;ENSG00000185000;ENSG00000151552;ENSG00000181092;ENSG00000166411;ENSG00000204291;ENSG00000160216;ENSG00000099977;ENSG00000109519;ENSG00000141232;ENSG00000128311;ENSG00000157184;ENSG00000123096;ENSG00000183048;ENSG00000173267;ENSG00000161533;ENSG00000170027
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	fgsea	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	6.07184350438598e-25	1.01197391739766e-23	2.58857192347088	NA	192	ENSG00000121594;ENSG00000166501;ENSG00000111679;ENSG00000140968;ENSG00000066336;ENSG00000042493;ENSG00000150782;ENSG00000082074;ENSG00000109943;ENSG00000081237;ENSG00000000938;ENSG00000015285;ENSG00000096996;ENSG00000010610;ENSG00000163131;ENSG00000160654;ENSG00000054219;ENSG00000116824;ENSG00000153283;ENSG00000102245;ENSG00000137078;ENSG00000137265;ENSG00000113263;ENSG00000114013;ENSG00000254087;ENSG00000140030;ENSG00000160255;ENSG00000005844;ENSG00000198851;ENSG00000147168;ENSG00000163519;ENSG00000137462;ENSG00000104432;ENSG00000180353;ENSG00000153563;ENSG00000043462;ENSG00000172349;ENSG00000167286;ENSG00000140749;ENSG00000204287;ENSG00000174125;ENSG00000060982;ENSG00000126759;ENSG00000112799;ENSG00000105369;ENSG00000102962;ENSG00000100365;ENSG00000174130;ENSG00000182866;ENSG00000242574;ENSG00000196776;ENSG00000172116;ENSG00000196735;ENSG00000160791;ENSG00000166278;ENSG00000173762;ENSG00000115085;ENSG00000227507;ENSG00000115607;ENSG00000145649;ENSG00000204257;ENSG00000198821;ENSG00000189430;ENSG00000271503;ENSG00000186810;ENSG00000104365;ENSG00000162711;ENSG00000163823;ENSG00000134539;ENSG00000178562;ENSG00000196924;ENSG00000136754;ENSG00000275302;ENSG00000204252;ENSG00000019582;ENSG00000104814;ENSG00000163737;ENSG00000102034;ENSG00000077238;ENSG00000166710;ENSG00000105329;ENSG00000162645;ENSG00000204592;ENSG00000181374;ENSG00000122862;ENSG00000180644;ENSG00000100385;ENSG00000204632;ENSG00000117560;ENSG00000100453;ENSG00000026103;ENSG00000147889;ENSG00000121807;ENSG00000241106;ENSG00000090339;ENSG00000156234;ENSG00000125538
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	fgsea	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	0.119148936170213	0.179470695381978	1.19424276755233	NA	100	ENSG00000184012;ENSG00000164120;ENSG00000171345;ENSG00000120899;ENSG00000178573;ENSG00000087076;ENSG00000116133;ENSG00000125257;ENSG00000135525;ENSG00000250722;ENSG00000166710;ENSG00000113161;ENSG00000145779;ENSG00000145703;ENSG00000099194;ENSG00000153208;ENSG00000111837;ENSG00000130066;ENSG00000186480
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	fgsea	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	0.701720841300191	0.855757123536819	-0.85829500398652	NA	36	ENSG00000121361;ENSG00000109072;ENSG00000175445;ENSG00000118971;ENSG00000163956;ENSG00000184916
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	fgsea	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	0.00963393516722027	0.0218953071982279	1.35119830404009	NA	196	ENSG00000130545;ENSG00000066405;ENSG00000189143;ENSG00000039068;ENSG00000181885;ENSG00000105376;ENSG00000005020;ENSG00000156711;ENSG00000082074;ENSG00000081237;ENSG00000146950;ENSG00000143217;ENSG00000128340;ENSG00000165025;ENSG00000114013;ENSG00000196878;ENSG00000197122;ENSG00000139211;ENSG00000141738;ENSG00000062038;ENSG00000005884;ENSG00000053747;ENSG00000140937;ENSG00000164171;ENSG00000064666;ENSG00000131236;ENSG00000160293;ENSG00000145147;ENSG00000163017;ENSG00000133026;ENSG00000149573;ENSG00000179593;ENSG00000198561;ENSG00000075624;ENSG00000261371;ENSG00000058085;ENSG00000186480;ENSG00000175866;ENSG00000143127;ENSG00000159840;ENSG00000163466;ENSG00000090339;ENSG00000130402;ENSG00000050405;ENSG00000147065;ENSG00000184009;ENSG00000156284;ENSG00000100985;ENSG00000018236;ENSG00000198053
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	fgsea	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	0.0326167104486853	0.0652334208973705	1.48141914113874	NA	43	ENSG00000169174;ENSG00000159307;ENSG00000162631;ENSG00000146950;ENSG00000112297;ENSG00000254087;ENSG00000147168
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	fgsea	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	0.000169003714689838	0.000563345715632793	1.61423110622641	NA	156	ENSG00000150782;ENSG00000064012;ENSG00000116824;ENSG00000101224;ENSG00000137841;ENSG00000111057;ENSG00000060558;ENSG00000188641;ENSG00000138795;ENSG00000110848;ENSG00000026508;ENSG00000170458;ENSG00000135046;ENSG00000100292;ENSG00000149269;ENSG00000065361;ENSG00000196954;ENSG00000104081;ENSG00000183773;ENSG00000131238;ENSG00000137752;ENSG00000019991;ENSG00000087088;ENSG00000180644;ENSG00000115008;ENSG00000117560;ENSG00000130066;ENSG00000112977;ENSG00000080815;ENSG00000153094;ENSG00000026103;ENSG00000100290;ENSG00000023445;ENSG00000154640;ENSG00000069702;ENSG00000233276;ENSG00000125538;ENSG00000165806;ENSG00000121858;ENSG00000132518;ENSG00000100234;ENSG00000111859;ENSG00000120885;ENSG00000104368;ENSG00000125845;ENSG00000124882;ENSG00000131979;ENSG00000125347
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	fgsea	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	0.246728971962617	0.333417529679212	-1.10260475940888	NA	105	ENSG00000182054;ENSG00000152556;ENSG00000103150;ENSG00000066583;ENSG00000079435;ENSG00000107537;ENSG00000176894;ENSG00000118137;ENSG00000142168;ENSG00000197448;ENSG00000173208;ENSG00000112759;ENSG00000172350;ENSG00000036530;ENSG00000120915;ENSG00000116906;ENSG00000169083;ENSG00000126432;ENSG00000211448;ENSG00000131910;ENSG00000112357;ENSG00000162735;ENSG00000101986;ENSG00000141338;ENSG00000102910;ENSG00000108733;ENSG00000123240;ENSG00000124587;ENSG00000117528;ENSG00000116171;ENSG00000143171;ENSG00000154258;ENSG00000107331;ENSG00000166821
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	fgsea	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	0.0688935281837161	0.116194625998548	1.2691605268762	NA	73	ENSG00000147676;ENSG00000170017;ENSG00000161921;ENSG00000178445;ENSG00000132196;ENSG00000104549;ENSG00000113161;ENSG00000099194;ENSG00000120437;ENSG00000169919;ENSG00000164938;ENSG00000012171;ENSG00000109084;ENSG00000169710;ENSG00000163191;ENSG00000184009;ENSG00000164211;ENSG00000112972;ENSG00000067064;ENSG00000120885;ENSG00000167508;ENSG00000001630;ENSG00000116285;ENSG00000011422;ENSG00000105755;ENSG00000130164
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	fgsea	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	0.0052385476269067	0.0130963690672667	1.46206052660259	NA	128	ENSG00000196188;ENSG00000130208;ENSG00000173391;ENSG00000137673;ENSG00000175899;ENSG00000197249;ENSG00000234906;ENSG00000115956;ENSG00000080618;ENSG00000021852;ENSG00000131187;ENSG00000187045;ENSG00000166278;ENSG00000088926;ENSG00000164171;ENSG00000111144;ENSG00000173372;ENSG00000159176;ENSG00000169860;ENSG00000169704;ENSG00000135046;ENSG00000157227;ENSG00000150687;ENSG00000163737;ENSG00000166670;ENSG00000149131;ENSG00000162909;ENSG00000243649;ENSG00000261371;ENSG00000103811;ENSG00000171557
