pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	fgsea	tcga_cancer__LIHC_DESeq2	tcga_cancer__LIHC_DESeq2	NA	NA	NA	NA	194	PGM1;LIFR;ACADS;CPT2;DBT;ALDH2;ACAA2;CD302;SCP2;EPHX2;ACADM;PLIN2;PEMT;CAT;PHYH;CMPK1;SDHB;GADD45A;BCL2L13;SOWAHC;ECHS1;HIBCH;GRPEL1;PIM3;STOM;QDPR;FAH;ABCA1;PRDX3;NKIRAS1;ACOX1;ORM1;GHITM;GPHN;MGLL;CRAT;TANK;RMDN3;SULT1A1;RNF11;COQ9;HADH;PEX14;MCCC1;MTARC2;SORBS1;ADIPOR2;ARAF;ITSN1;CMBL;MTCH2;C3;DECR1;REEP6;PPP1R15B;ACADL;AK2;APLP2;ECH1;JAGN1;RETSAT;MYLK;RIOK3;SUCLG1;DLD;TST
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	fgsea	tcga_cancer__LIHC_DESeq2	tcga_cancer__LIHC_DESeq2	0.251530562606516	0.429698044452797	-1.05048993354411	NA	191	FCGR2B;CFP;CD1D;PF4;IRF8;CD4;TLR3;IL4R;ACVR2A;FGR;F2;IL6;KLRD1;MBL2;EGFR;BCL3;IL1B;SRGN;AKT1;CCR1;IL2RB;TLR2;NCR1;IRF4;INHBA;INHBB;CCL2;GPR65;PRKCB;BCL10;IL10;IRF7;ABCE1;CCL4;ETS1;IL18RAP;FAS;IL7;ICAM1;STAB1;CCL22;TNF
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	fgsea	tcga_cancer__LIHC_DESeq2	tcga_cancer__LIHC_DESeq2	7.54368678963876e-05	0.000220922255982278	-1.74042585751389	NA	99	LIFR;PDLIM5;SLC38A2;B4GALT1;ADAMTS1;STEAP4;AZGP1;BMPR1B;LMAN1;TMPRSS2;NCOA4;SGK1;NKX3-1;ABHD2;IQGAP2;SELENOP;UAP1;MAF;MAP7;HPGD;AKT1;CDC14B;ALDH1A3;SAT1;SEC24D;SORD;AKAP12;SPCS3;PTPN21;NGLY1;PTK2B;DNAJB9
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	fgsea	tcga_cancer__LIHC_DESeq2	tcga_cancer__LIHC_DESeq2	0.348699763593381	0.549872704128023	1.10389043115882	NA	35	SPP1;JAG2;PTK2;MSX1;LPL;PDGFA
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	fgsea	tcga_cancer__LIHC_DESeq2	tcga_cancer__LIHC_DESeq2	0.000810304491643983	0.00207640525983771	1.46590939279656	NA	189	MDK;CD34;ACTN2;SLC30A3;THY1;ADAM15;TSC1;COL9A1;LAMA3;PTK2;FLNC;TAOK2;TUBG1;WNK4;ITGA2;MPZL1;CLDN15;PLCG1;NECTIN1;PPP2R2C;CDH8;NF2;THBS3;VWF;SHC1;ACTG2;ADAM23;MAPK11;SRC;PARD6G;ADAM9;MMP9;DHX16;HRAS;AMH;INPPL1;PIK3R3;PBX2;CTNNA1;CLDN19;MAPK13;MAP4K2;TMEM8B;RHOF;VCAN;ITGB4;CDH11;CLDN18;STX4
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	fgsea	tcga_cancer__LIHC_DESeq2	tcga_cancer__LIHC_DESeq2	0.787528868360277	0.928588255090022	0.795258701073564	NA	41	THY1;HSPB1;MDGA1;SLC22A12;CROCC;NCOA6
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	fgsea	tcga_cancer__LIHC_DESeq2	tcga_cancer__LIHC_DESeq2	0.105920798947883	0.188815337254922	-1.11141489128591	NA	158	GADD45B;MCL1;CD14;JUN;EGR3;ATF3;RHOB;WEE1;GADD45A;GCH1;TGFBR3;HGF;DCN;BGN;AVPR1A;HMOX1;CASP7;F2;IL6;FEZ1;CD69;DPYD;SC5D;SATB1;IL1B;TXNIP;CLU;TNFSF10;MGMT;RETSAT;SAT1;CYLD;CDKN1A;BCL10;IER3;CASP6;BTG2;SOD1;CFLAR;SMAD7;ANKH;FAS
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	fgsea	tcga_cancer__LIHC_DESeq2	tcga_cancer__LIHC_DESeq2	8.10931086470875e-10	5.54136242421765e-09	-2.25183793830697	NA	110	MLYCD;ACSL1;PEX13;SCP2;ISOC1;EPHX2;ALDH8A1;CYP39A1;ALDH9A1;CAT;LONP2;PHYH;NR3C2;ABCA1;HAO1;ABCD3;TTR;GC;PNPLA8;PEX11G;AKR1D1;AGXT;IDH2;HSD17B6;NR0B2;SLC27A2;GNMT;SLC27A5;NR1I2;NR1H4;PIPOX;ABCA8;PXMP2;ABCA6;APOA1;BBOX1;CYP8B1;RETSAT;NUDT12;PEX7;CYP27A1;AR;ABCA9;PECR;HSD17B11;SERPINA6;SOD1;BMP6;HSD3B1;ABCG4;IDH1;CYP46A1;PEX11A;ABCG8;CYP7B1;SULT1B1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	fgsea	tcga_cancer__LIHC_DESeq2	tcga_cancer__LIHC_DESeq2	0.00436192545359483	0.0105199378586699	-1.56921216637503	NA	74	PNRC1;NFIL3;ERRFI1;ATF3;LDLR;ANTXR2;ETHE1;ADH4;AVPR1A;ATF5;PLSCR1;SC5D;PLAUR;CLU;GUSB;ECH1;GLDC;ACAT2;CPEB2;STARD4;ALDOC;MVK;CBS
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	fgsea	tcga_cancer__LIHC_DESeq2	tcga_cancer__LIHC_DESeq2	6.66409900712118e-07	3.4153507411496e-06	-1.847281063027	NA	134	C1R;DUSP6;F8;FYN;PF4;C1S;PROS1;SERPING1;KLKB1;SERPINE1;C8B;C8A;DUSP14;PLG;C9;PROZ;MAFF;SERPINA1;CTSO;HMGCS2;F9;THBS1;ACOX2;FGG;FGA;F11;THBD;ANG;CFD;F2;F3;MBL2;TFPI2;CPB2;RGN;MST1;CFI;HPN;C3;CPN1;HRG;APOC3;APOA1;ITIH1;GNG12;F12;TF;CLU;A2M;CTSB;PREP
